1,0.4
1.1,0.4
1.2,0.4
1.3,0.4
1.4,0.41
1.5,0.41
1.6,0.41
1.7,0.42
1.8,0.43
1.9,0.43
2,0.43
2.1,0.43
2.2,0.44
2.3,0.44
2.4,0.44
2.5,0.43
2.6,0.43
2.7,0.42
2.8,0.42
2.9,0.42
3,0.41
3.1,0.4
3.2,0.4
3.3,0.39
3.4,0.39
3.5,0.39
3.6,0.382
3.7,0.382
3.8,0.382
3.9,0.37
4,0.37
4.1,0.37
4.2,0.37
4.3,0.37
4.4,0.37
4.5,0.37
4.6,0.37
4.7,0.37
4.8,0.37
4.9,0.37
5,0.37
5.1,0.4
5.2,0.42
5.3,0.45
5.4,0.48
5.5,0.53
5.6,0.6
5.7,0.8
5.8,0.85
5.9,0.88
6,0.89
6.1,0.9
6.2,0.9
6.3,0.89
6.4,0.89
6.5,0.89
6.6,0.88
6.7,0.87
6.8,0.87
6.9,0.85
7,0.84
7.1,0.82
7.2,0.8
7.3,0.75
7.4,0.65
7.5,0.6
7.6,0.55
7.7,0.5
7.8,0.45
7.9,0.43
8,0.4
8.1,0.4
8.2,0.38
8.3,0.37
8.4,0.36
8.5,0.35
8.6,0.35
8.7,0.35
8.8,0.35
8.9,0.35
9,0.35
9.1,0.32
9.2,0.31
9.3,0.31
9.4,0.3
9.5,0.29
9.6,0.28
9.7,0.27
9.8,0.26
9.9,0.25
10,0.24
10.1,0.23
10.2,0.22
10.3,0.21
10.4,0.2
10.5,0.2
10.6,0.2
10.7,0.2
10.8,0.19
10.9,0.19
